iter	RMSE
0	70751.0593
1	66779.77545
2	63029.00876
3	59339.68796
4	55823.67386
5	52881.05854
6	50314.59874
7	47871.17727
8	45851.88979
9	43864.71442
10	42398.59313
11	40765.65095
12	39489.23878
13	38125.46867
14	36967.27574
15	35845.4983
16	34728.11472
17	33741.25935
18	32878.71546
19	32032.36983
20	31427.97099
21	30660.91454
22	30224.34348
23	29787.15731
24	29193.49163
25	28829.02628
26	28378.14272
27	27940.17512
28	27472.18089
29	26865.2105
30	26543.41456
31	26170.13518
32	25710.59343
33	25424.32777
34	25158.26073
35	24963.29363
36	24559.56686
37	24423.00783
38	24217.18362
39	23951.34325
40	23792.14292
41	23593.50633
42	23387.28014
43	23215.58582
44	23041.59327
45	22861.49535
46	22683.85688
47	22538.52472
48	22405.31729
49	22298.09341
50	22243.89894
51	22155.17586
52	21994.49784
53	21898.76969
54	21791.17388
55	21728.9996
56	21605.61262
57	21477.64617
58	21324.96604
59	21248.65067
60	21090.61926
61	21008.73462
62	20924.41899
63	20829.29191
64	20772.88271
65	20708.6336
66	20655.52766
67	20567.54217
68	20507.5227
69	20453.13048
70	20420.55563
71	20332.91732
72	20294.72737
73	20247.1827
74	20231.36249
75	20207.15502
76	20131.27682
77	20050.61057
78	19978.19889
79	19908.46445
80	19860.31625
81	19799.57646
82	19751.49199
83	19717.87183
84	19629.8139
85	19611.11367
86	19553.96816
87	19521.90089
88	19490.24296
89	19447.45299
90	19358.80665
91	19337.90885
92	19294.20044
93	19211.40642
94	19190.22719
95	19126.15126
96	19067.52729
97	19005.11968
98	18963.9717
99	18887.86641
100	18875.5345
101	18842.12081
102	18739.34069
103	18725.00437
104	18713.25176
105	18647.58698
106	18630.95105
107	18618.69882
108	18567.02447
109	18509.06906
110	18423.30389
111	18373.83694
112	18298.7638
113	18256.12162
114	18220.37293
115	18147.35361
116	18105.76269
117	18058.44291
118	18025.68582
119	17979.21552
120	17921.93752
121	17852.46762
122	17792.45891
123	17719.88394
124	17679.10395
125	17634.53459
126	17597.62036
127	17543.028
128	17491.19727
129	17382.16074
130	17313.52039
131	17273.45758
132	17236.85908
133	17223.55436
134	17183.71752
135	17163.6857
136	17117.75649
137	17099.57482
138	17058.78416
139	17052.69447
140	17030.43033
141	16988.47404
142	16944.15368
143	16931.2518
144	16896.20248
145	16853.68981
146	16817.68636
147	16806.56945
148	16792.79724
149	16774.31241
150	16690.35237
151	16637.40696
152	16611.4288
153	16600.94096
154	16578.87071
155	16563.90393
156	16474.45755
157	16469.3312
158	16384.85308
159	16348.47837
160	16329.03466
161	16301.51682
162	16270.10408
163	16221.46429
164	16173.0915
165	16134.77464
166	16128.13409
167	16082.53593
168	16072.85505
169	16003.52023
170	15946.51026
171	15912.52168
172	15878.76962
173	15841.51418
174	15814.93663
175	15745.06407
176	15713.32427
177	15698.87366
178	15639.94639
179	15560.92634
180	15507.58988
181	15445.90556
182	15398.73259
183	15341.7666
184	15326.12887
185	15316.24417
186	15303.93661
187	15282.36554
188	15252.95617
189	15232.08908
190	15219.63625
191	15203.68575
192	15152.55835
193	15140.02704
194	15121.1883
195	15072.236
196	15047.9609
197	15037.84274
198	15010.9399
199	14998.61852
