iter	Passed	Remaining
0	31	4667
1	65	4855
2	109	5349
3	144	5281
4	180	5225
5	203	4887
6	241	4925
7	268	4762
8	303	4758
9	337	4724
10	372	4703
11	410	4719
12	446	4702
13	480	4672
14	527	4748
15	568	4758
16	610	4776
17	645	4733
18	682	4706
19	701	4561
20	737	4532
21	772	4491
22	807	4458
23	840	4414
24	877	4385
25	909	4338
26	945	4308
27	980	4271
28	1016	4240
29	1052	4208
30	1090	4187
31	1125	4148
32	1162	4120
33	1197	4086
34	1236	4063
35	1272	4030
36	1375	4201
37	1423	4195
38	1461	4160
39	1497	4116
40	1534	4080
41	1571	4041
42	1606	3997
43	1641	3955
44	1677	3915
45	1711	3869
46	1747	3828
47	1780	3782
48	1815	3741
49	1848	3697
50	1883	3656
51	1917	3614
52	1935	3542
53	1969	3501
54	2002	3458
55	2038	3421
56	2071	3380
57	2107	3342
58	2140	3301
59	2177	3266
60	2210	3225
61	2247	3189
62	2279	3148
63	2295	3085
64	2328	3044
65	2363	3007
66	2401	2974
67	2434	2935
68	2470	2900
69	2504	2861
70	2540	2826
71	2547	2760
72	2582	2724
73	2616	2687
74	2653	2653
75	2685	2615
76	2720	2578
77	2747	2536
78	2781	2499
79	2814	2462
80	2849	2427
81	2882	2390
82	2918	2356
83	2952	2319
84	2987	2284
85	3019	2247
86	3054	2211
87	3086	2174
88	3121	2139
89	3154	2103
90	3191	2068
91	3223	2032
92	3259	1997
93	3292	1961
94	3326	1925
95	3359	1889
96	3397	1856
97	3431	1820
98	3467	1786
99	3500	1750
100	3536	1715
101	3570	1680
102	3605	1645
103	3637	1609
104	3673	1574
105	3706	1538
106	3741	1503
107	3773	1467
108	3807	1432
109	3840	1396
110	3875	1361
111	3909	1326
112	3944	1291
113	3978	1256
114	4014	1221
115	4048	1186
116	4083	1151
117	4116	1116
118	4151	1081
119	4183	1045
120	4218	1011
121	4252	975
122	4287	941
123	4320	905
124	4356	871
125	4392	836
126	4428	801
127	4461	766
128	4497	732
129	4531	697
130	4566	662
131	4599	627
132	4635	592
133	4667	557
134	4702	522
135	4735	487
136	4771	452
137	4804	417
138	4839	383
139	4872	348
140	4908	313
141	4941	278
142	4977	243
143	5009	208
144	5045	173
145	5079	139
146	5115	104
147	5149	69
148	5185	34
149	5218	0
